  PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
     31 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/4
     32 root      rt   0       0      0      0 S   0.0   0.0   0:00.19 migration/4
     33 root      20   0       0      0      0 S   0.0   0.0   0:00.05 ksoftirqd/4
     35 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker/4:0H-events_highpri
     36 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/5
     37 root      rt   0       0      0      0 S   0.0   0.0   0:00.18 migration/5
     38 root      20   0       0      0      0 S   0.0   0.0   0:00.21 ksoftirqd/5
     40 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker/5:0H-events_highpri
     41 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/6
     42 root      rt   0       0      0      0 S   0.0   0.0   0:00.19 migration/6
     43 root      20   0       0      0      0 S   0.0   0.0   0:00.06 ksoftirqd/6
     45 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker/6:0H-events_highpri
     46 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/7
     47 root      rt   0       0      0      0 S   0.0   0.0   0:00.19 migration/7
     48 root      20   0       0      0      0 S   0.0   0.0   0:00.04 ksoftirqd/7
     50 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker/7:0H-events_highpri
     59 root      20   0       0      0      0 S   0.0   0.0   0:00.00 kdevtmpfs
     60 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 netns
     61 root      20   0       0      0      0 S   0.0   0.0   0:00.00 kauditd
     64 root      20   0       0      0      0 S   0.0   0.0   0:00.01 khungtaskd
     65 root      20   0       0      0      0 S   0.0   0.0   0:00.00 oom_reaper
     66 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 writeback
     67 root      20   0       0      0      0 S   0.0   0.0   0:00.46 kcompactd0
     68 root      25   5       0      0      0 S   0.0   0.0   0:00.00 ksmd
     69 root      39  19       0      0      0 S   0.0   0.0   0:00.85 khugepaged
     88 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kintegrityd
     89 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kblockd
     90 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 blkcg_punt_bio
     91 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 edac-poller
     92 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 devfreq_wq
     93 root       0 -20       0      0      0 I   0.0   0.0   0:00.15 kworker/1:1H-kblockd
     98 root      20   0       0      0      0 S   0.0   0.0   0:00.00 kswapd0
     99 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kthrotld
    100 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/122-aerdrv
    101 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/122-pcie-dp
    102 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/123-aerdrv
    103 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/123-pcie-dp
    104 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 acpi_thermal_pm
    106 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 ipv6_addrconf
    115 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kstrp
    118 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 zswap-shrink
    141 root       0 -20       0      0      0 I   0.0   0.0   0:00.20 kworker/0:1H-kblockd
    177 root       0 -20       0      0      0 I   0.0   0.0   0:00.15 kworker/3:1H-events_highpri
    178 root       0 -20       0      0      0 I   0.0   0.0   0:00.14 kworker/2:1H-kblockd
    182 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 nvme-wq
    183 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 nvme-reset-wq
    184 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 nvme-delete-wq
    186 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 ata_sff
    187 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh_0
    188 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 scsi_tmf_0
    190 root       0 -20       0      0      0 I   0.0   0.0   0:00.40 kworker/5:1H-kblockd
    192 root       0 -20       0      0      0 I   0.0   0.0   0:00.22 kworker/7:1H-events_highpri
    193 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 card0-crtc0
    194 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 card0-crtc1
    195 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 card0-crtc2
    197 root       0 -20       0      0      0 I   0.0   0.0   0:00.09 kworker/4:1H-events_highpri
    235 root       0 -20       0      0      0 I   0.0   0.0   0:00.29 kworker/6:1H-events_highpri
    236 root      20   0       0      0      0 S   0.0   0.0   0:02.00 jbd2/nvme0n1p7-
    237 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 ext4-rsv-conver
    281 root      20   0   64868  20428  19124 S   0.0   0.1   0:00.81 systemd-journal
    304 root      20   0   24280   7488   4088 S   0.0   0.0   0:07.07 systemd-udevd
    368 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 ktpacpid
    371 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/137-mei_me
    375 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 tpm_dev_wq
    376 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 cfg80211
    387 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 watchdogd
    388 root     -51   0       0      0      0 S   0.0   0.0   3:33.29 irq/138-elan_i2
    389 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 cryptd
    390 root     -51   0       0      0      0 S   0.0   0.0   0:02.95 irq/139-iwlwifi
    391 root     -51   0       0      0      0 S   0.0   0.0   0:01.19 irq/140-iwlwifi
    392 root     -51   0       0      0      0 S   0.0   0.0   0:00.65 irq/141-iwlwifi
    393 root     -51   0       0      0      0 S   0.0   0.0   0:00.97 irq/142-iwlwifi
    394 root     -51   0       0      0      0 S   0.0   0.0   0:00.87 irq/143-iwlwifi
    395 root     -51   0       0      0      0 S   0.0   0.0   0:01.01 irq/144-iwlwifi
    396 root     -51   0       0      0      0 S   0.0   0.0   0:00.92 irq/145-iwlwifi
    398 root     -51   0       0      0      0 S   0.0   0.0   0:00.41 irq/146-iwlwifi
    399 root     -51   0       0      0      0 S   0.0   0.0   0:02.03 irq/147-iwlwifi
    400 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/148-iwlwifi
    456 root       0 -20       0      0      0 S   0.0   0.0   0:00.00 loop0
    503 root       0 -20       0      0      0 S   0.0   0.0   0:00.01 loop1
    538 root       0 -20       0      0      0 S   0.0   0.0   0:00.00 loop2
    541 root       0 -20       0      0      0 S   0.0   0.0   0:00.00 loop3
    544 root       0 -20       0      0      0 S   0.0   0.0   0:00.00 loop4
    576 systemd+  20   0   88400   6128   5432 S   0.0   0.0   0:00.06 systemd-timesyn
    590 root      20   0    8120   6796   1580 S   0.0   0.0   0:00.53 haveged
    624 root      20   0  236428   7204   6392 S   0.0   0.0   0:00.34 accounts-daemon
    625 avahi     20   0    7280   3436   3084 S   0.0   0.0   0:00.52 avahi-daemon
    626 root      20   0    6684   2688   2480 S   0.0   0.0   0:00.01 cron
    628 root      20   0  255272  20048  14400 S   0.0   0.1   0:07.58 NetworkManager
    630 root      20   0  239172  10288   7120 S   0.0   0.1   0:00.75 polkitd
    631 root      20   0  220740   6548   3304 S   0.0   0.0   0:00.23 rsyslogd
    633 root      20   0   11044   5204   4264 S   0.0   0.0   0:00.01 smartd
    634 root      20   0 1663836  40032  16128 S   0.0   0.2   0:16.73 snapd
    638 root      20   0  374424   7576   6616 S   0.0   0.0   0:00.53 systemd-logind
    639 root      20   0  393708  14440  10332 S   0.0   0.1   0:00.18 udisksd
    640 root      20   0   15172   9728   8456 S   0.0   0.1   0:00.67 wpa_supplicant
    641 avahi     20   0    7092    352      0 S   0.0   0.0   0:00.00 avahi-daemon
    663 root      20   0   22664  10408   9252 S   0.0   0.1   0:00.01 bluetoothd
    672 root      20   0  314788  12736   9008 S   0.0   0.1   0:00.06 ModemManager
    677 root      20   0   26976   8820   7296 S   0.0   0.1   0:00.01 cupsd
    696 root      20   0 1715300  55384  29324 S   0.0   0.3   0:08.70 containerd
    703 root      20   0  135960  15564  14224 S   0.0   0.1   0:00.02 sddm
    712 root      20   0  118720  23320  14412 S   0.0   0.1   0:00.07 unattended-upgr
    714 root      20   0   13292   7056   6160 S   0.0   0.0   0:00.00 sshd
    715 root      20   0  175048  11564  10056 S   0.0   0.1   0:00.19 cups-browsed
    741 root      20   0  900944  88436  52408 S   0.0   0.6   3:42.14 Xorg
    849 rtkit     21   1  153692   3068   2816 S   0.0   0.0   0:00.16 rtkit-daemon
    987 root      20   0   56068  14872  13652 S   0.0   0.1   0:00.10 sddm-helper
    989 henrik    20   0   15648   9160   7444 S   0.0   0.1   0:00.64 systemd
    990 henrik    20   0  167008   2976     24 S   0.0   0.0   0:00.00 (sd-pam)
   1009 henrik     9 -11   90992   5876   4812 S   0.0   0.0   0:00.12 pipewire
   1010 henrik     9 -11 1158272  28620  22084 S   0.0   0.2   0:01.24 pulseaudio
   1014 henrik    20   0    9008   5232   4028 S   0.0   0.0   0:02.08 dbus-daemon
   1015 henrik     9 -11   85300   6644   5540 S   0.0   0.0   0:00.77 pipewire-media-
   1018 henrik    20   0  281800  43264  38056 S   0.0   0.3   0:02.67 kwalletd5
   1019 henrik    20   0  144060  18316  16260 S   0.0   0.1   0:00.05 startplasma-x11
   1071 henrik    20   0    5964    468      0 S   0.0   0.0   0:00.04 ssh-agent
   1088 henrik    20   0  309508   8488   4820 S   0.0   0.1   0:56.57 ibus-daemon
   1093 henrik    20   0  159284   6120   5660 S   0.0   0.0   0:00.00 ibus-memconf
   1095 henrik    20   0  807044  89060  50156 S   0.0   0.6   0:14.56 ibus-ui-gtk3
   1096 henrik    20   0  731240  85064  43588 S   0.0   0.5   0:13.45 ibus-extension-
   1099 henrik    20   0  653572  80008  42500 S   0.0   0.5   0:01.81 ibus-x11
   1103 henrik    20   0  233220   6148   5656 S   0.0   0.0   0:00.34 ibus-portal
   1119 henrik    20   0  245388   9348   8268 S   0.0   0.1   0:00.00 gsettings-helpe
   1136 henrik    20   0    2228     88      0 S   0.0   0.0   0:00.00 start_kdeinit
   1138 henrik    20   0  110924  26836  23116 S   0.0   0.2   0:00.06 kdeinit5
   1143 henrik    20   0  307140   6560   5940 S   0.0   0.0   0:00.01 at-spi-bus-laun
   1148 henrik    20   0    8172   4324   3840 S   0.0   0.0   0:00.26 dbus-daemon
   1153 henrik    20   0  620564  14752  10760 S   0.0   0.1   0:00.99 xdg-desktop-por
   1155 henrik    20   0  165732   7616   6800 S   0.0   0.0   0:03.11 at-spi2-registr
   1166 henrik    20   0  528352   8244   5596 S   0.0   0.1   0:00.45 xdg-document-po
   1169 henrik    20   0  232788   6680   4216 S   0.0   0.0   0:00.00 xdg-permission-
   1170 henrik    20   0  279884  41572  36500 S   0.0   0.3   0:02.74 klauncher
   1185 root      20   0    2404   1724   1616 S   0.0   0.0   0:00.00 fusermount
   1191 henrik    20   0  551052  54312  22280 S   0.0   0.3   0:02.16 xdg-desktop-por
   1203 henrik    20   0  155880   5188   4684 S   0.0   0.0   0:00.00 dconf-service
   1351 henrik    20   0  159412   6040   5568 S   0.0   0.0   0:09.89 ibus-engine-sim
   1401 henrik    20   0 1198784  89088  68756 S   0.0   0.6   0:11.49 kded5
   1481 henrik    20   0 3707368 172612 102004 S   0.0   1.1   3:42.49 kwin_x11
   1587 henrik    20   0  544864  35428  29256 S   0.0   0.2   0:02.77 kactivitymanage
   1589 henrik    20   0  280608  42780  36512 S   0.0   0.3   0:02.97 kglobalaccel5
   1615 henrik    20   0  284632  46884  41000 S   0.0   0.3   0:03.66 ksmserver
   1619 henrik    20   0    9464   3832   3496 S   0.0   0.0   0:00.00 xsettingsd
   1633 henrik    20   0  890388  98504  78568 S   0.0   0.6   0:02.86 polkit-kde-auth
   1635 henrik    20   0  235600  25276  20532 S   0.0   0.2   0:02.60 xembedsniproxy
   1638 henrik    20   0  280572  42132  37032 S   0.0   0.3   0:04.16 kaccess
   1644 henrik    20   0 2379772 251316 131032 S   0.0   1.6   0:53.76 plasmashell
   1653 henrik    20   0  361304  49308  43008 S   0.0   0.3   0:04.39 kdeconnectd
   1657 henrik    20   0  234388  23920  21208 S   0.0   0.1   0:02.55 gmenudbusmenupr
   1662 henrik    20   0  370008  51848  43648 S   0.0   0.3   0:05.02 DiscoverNotifie
   1702 root      20   0  363936  32488  18092 S   0.0   0.2   0:25.74 packagekitd
   1712 henrik    20   0  315280  59720  52808 S   0.0   0.4   0:03.37 korgac
   1722 henrik    20   0   45100   6720   6076 S   0.0   0.0   0:00.00 obexd
   1723 henrik    20   0  226840  21712  19044 S   0.0   0.1   0:02.97 kscreen_backend
   1725 root      10 -10       0      0      0 S   0.0   0.0   0:00.00 krfcommd
   1745 henrik    20   0 1050260 117496  89324 S   0.0   0.7   0:24.24 konsole
   1758 henrik    20   0  234028   4664   4228 S   0.0   0.0   0:00.00 agent
   1770 henrik    20   0 1258748 101164  46168 S   0.0   0.6   0:15.12 ulauncher
   1791 henrik    20   0 1152580  52540  43680 S   0.0   0.3   0:21.15 org_kde_powerde
   1872 henrik    20   0   16748  11032   5800 S   0.0   0.1   0:01.89 zsh
   1902 henrik    20   0    5964   2744   2268 S   0.0   0.0   0:00.46 ssh-agent
   1959 henrik    20   0  166688  65916  24720 S   0.0   0.4   0:00.80 python3
   1961 henrik    20   0  168212  67536  26660 S   0.0   0.4   0:00.85 python3
   1963 henrik    20   0  167856  67396  25112 S   0.0   0.4   0:00.84 python3
   1965 henrik    20   0  167432  65524  24968 S   0.0   0.4   0:00.84 python3
   1975 henrik    20   0  167116  65576  24848 S   0.0   0.4   0:00.78 python3
   2469 henrik    20   0  111224  17232  13500 S   0.0   0.1   0:00.10 file.so
   6407 root      20   0 2197216 103140  52396 S   0.0   0.6   0:07.08 dockerd
   6425 root      20   0  711448  15936   6292 S   0.0   0.1   0:00.81 containerd-shim
   6444 root      20   0  769892  53744  31636 S   0.0   0.3   0:01.95 docker-driver
  21058 root      20   0       0      0      0 I   0.0   0.0   0:01.96 kworker/u16:3-i915
  23682 root      20   0       0      0      0 I   0.0   0.0   0:02.05 kworker/1:1-events
  23741 root      20   0   24412   5240   1780 S   0.0   0.0   0:00.03 systemd-udevd
  23747 root      20   0   24280   5196   1780 S   0.0   0.0   0:09.77 systemd-udevd
  24102 root      20   0       0      0      0 I   0.0   0.0   0:01.64 kworker/u16:0-kec
  24507 root      20   0       0      0      0 I   0.0   0.0   0:09.14 kworker/0:0-events
  25658 root      20   0       0      0      0 I   0.0   0.0   0:01.13 kworker/u16:4-flush-259:0
  25674 root      20   0   24280   5176   1764 S   0.0   0.0   0:00.10 systemd-udevd
  25675 root      20   0   24280   5184   1772 S   0.0   0.0   0:11.92 systemd-udevd
  26809 root      20   0   24280   5192   1780 S   0.0   0.0   0:00.00 systemd-udevd
  26815 root      20   0   24280   5120   1712 S   0.0   0.0   0:00.00 systemd-udevd
  27732 root      20   0       0      0      0 I   0.0   0.0   0:00.54 kworker/3:2-events
  28025 root      20   0 1148652  13816   2876 S   0.0   0.1   0:00.00 docker-proxy
  28032 root      20   0 1075176  12824   2024 S   0.0   0.1   0:00.00 docker-proxy
  28044 root      20   0 1148908  15776   2788 S   0.0   0.1   0:00.00 docker-proxy
  28051 root      20   0 1222640  13784   2848 S   0.0   0.1   0:00.00 docker-proxy
  28073 root      20   0 1222640  14924   2080 S   0.0   0.1   0:00.00 docker-proxy
  28081 root      20   0 1150060  15936   2952 S   0.0   0.1   0:00.00 docker-proxy
  28096 root      20   0  712600  16844   5988 S   0.0   0.1   0:00.32 containerd-shim
  28115 root      20   0   85080  27932  20488 S   0.0   0.2   0:00.28 apache2
  28151 root      20   0 1224048  12928   2148 S   0.0   0.1   0:00.00 docker-proxy
  28159 root      20   0  712856  17228   5504 S   0.0   0.1   0:00.33 containerd-shim
  28173 root      20   0 1148908   4732   2064 S   0.0   0.0   0:00.00 docker-proxy
  28177 root      20   0  712856  15752   6368 S   0.0   0.1   0:00.31 containerd-shim
  28223 root      20   0  712856  10612   6180 S   0.0   0.1   0:00.29 containerd-shim
  28249 systemd+  20   0 1408724 122220  22960 S   0.0   0.8   0:00.88 mysqld
  28250 root      20   0    3740   2848   2564 S   0.0   0.0   0:00.04 docker-dev-entr
  28267 root      20   0    3836   2900   2632 S   0.0   0.0   0:00.05 docker-dev-entr
  28446 www-data  20   0   85112   9352   1900 S   0.0   0.1   0:00.01 apache2
  28452 www-data  20   0   85112   9352   1900 S   0.0   0.1   0:00.00 apache2
  28454 www-data  20   0   85112   9352   1900 S   0.0   0.1   0:00.00 apache2
  28458 www-data  20   0   85112   9352   1900 S   0.0   0.1   0:00.00 apache2
  28460 www-data  20   0   85112   9352   1900 S   0.0   0.1   0:00.00 apache2
  28470 root      20   0  751348  43580  29848 S   0.0   0.3   0:00.35 npm
  28525 root      20   0    2424    592    512 S   0.0   0.0   0:00.00 sh
  28526 root      20   0  578612  35376  27880 S   0.0   0.2   0:00.12 node
  28537 root      20   0  692848  94116  30884 S   0.0   0.6   0:01.66 node
  28546 root      20   0  880452  42108  29528 S   0.0   0.3   1:33.57 node
  28571 root      20   0    2392    748    680 S   0.0   0.0   0:00.00 sh
  28572 root      20   0  952268  83104  36100 S   0.0   0.5   0:02.10 node
  30351 root       0 -20       0      0      0 I   0.0   0.0   0:02.68 kworker/u17:1-i915_flip
  30588 root      20   0       0      0      0 I   0.0   0.0   0:00.11 kworker/7:2-events
  30599 root      20   0       0      0      0 I   0.0   0.0   0:00.28 kworker/4:1-events
  30752 root      20   0       0      0      0 I   0.0   0.0   0:09.68 kworker/5:2-events
  30814 root      20   0       0      0      0 I   0.0   0.0   0:01.04 kworker/2:0-events
  30838 root      20   0       0      0      0 I   0.0   0.0   0:00.99 kworker/6:2-events
  31223 root      20   0       0      0      0 I   0.0   0.0   0:00.00 kworker/1:0
  31484 root      20   0       0      0      0 I   0.0   0.0   0:00.00 kworker/6:0
  31748 root      20   0       0      0      0 I   0.0   0.0   0:00.23 kworker/7:0-events
  31864 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker/u17:2-rb_allocator
  31872 root      20   0       0      0      0 I   0.0   0.0   0:00.00 kworker/2:2-events
  32003 root      20   0       0      0      0 I   0.0   0.0   0:00.13 kworker/4:2-events
  32348 root      20   0       0      0      0 I   0.0   0.0   0:00.00 kworker/5:1-events
  32366 root      20   0       0      0      0 I   0.0   0.0   0:00.17 kworker/0:1-events
  32507 root      20   0       0      0      0 I   0.0   0.0   0:00.26 kworker/3:0-events
  33159 root      20   0    2332    500    440 S   0.0   0.0   0:00.00 sleep
  33163 root      20   0    2300    676    612 S   0.0   0.0   0:00.00 sleep
  33208 root      20   0       0      0      0 I   0.0   0.0   0:00.07 kworker/7:3-events
  33322 root      20   0       0      0      0 I   0.0   0.0   0:00.10 kworker/4:0-kec_query
  33570 root      20   0       0      0      0 I   0.0   0.0   0:00.03 kworker/0:2-events
  33599 root      20   0       0      0      0 I   0.0   0.0   0:00.70 kworker/5:0-events
  33618 root      20   0       0      0      0 I   0.0   0.0   0:00.00 kworker/6:1-events
  33819 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker/u17:0-rb_allocator
  33834 root      20   0       0      0      0 I   0.0   0.0   0:00.00 kworker/u16:1-phy0
  33841 root      20   0       0      0      0 I   0.0   0.0   0:00.22 kworker/0:3-events
  33857 root      20   0       0      0      0 I   0.0   0.0   0:00.05 kworker/2:1-events
  33858 root      20   0       0      0      0 I   0.0   0.0   0:00.01 kworker/3:1-events
  33859 root      20   0       0      0      0 I   0.0   0.0   0:00.00 kworker/3:3-events
  33872 henrik    20   0    6888   3580   3188 S   0.0   0.0   0:00.00 monitor_linux_d
